170	苏州	唐山	1090.377	18.17295	15.57681429	13.6297125
171	唐山	上海	1129.073	18.81788333	16.12961429	14.1134125
172	上海	唐山	1129.749	18.82915	16.13927143	14.1218625
173	唐山	杭州	1204.032	20.0672	17.20045714	15.0504
174	杭州	唐山	1203.679	20.06131667	17.19541429	15.0459875
175	唐山	宁波	1296.973	21.61621667	18.52818571	16.2121625
176	宁波	唐山	1297.468	21.62446667	18.53525714	16.21835
177	唐山	张家口	355.256	5.920933333	5.075085714	4.4407
178	张家口	唐山	358.018	5.966966667	5.114542857	4.475225
179	唐山	承德	181.419	3.02365	2.5917	2.2677375
180	承德	唐山	181.903	3.031716667	2.598614286	2.2737875
181	唐山	北京	164.297	2.738283333	2.3471	2.0537125
182	北京	唐山	164.632	2.743866667	2.351885714	2.0579
183	秦皇岛	徐州	819.131	13.65218333	11.70187143	10.2391375
184	徐州	秦皇岛	818.718	13.6453	11.69597143	10.233975
185	秦皇岛	合肥	1118.652	18.6442	15.98074286	13.98315
186	合肥	秦皇岛	1118.233	18.63721667	15.97475714	13.9779125
187	秦皇岛	南京	1085.229	18.08715	15.50327143	13.5653625
188	南京	秦皇岛	1084.932	18.0822	15.49902857	13.56165
189	秦皇岛	镇江	1092.579	18.20965	15.60827143	13.6572375
190	镇江	秦皇岛	1092.572	18.20953333	15.60817143	13.65715
191	秦皇岛	常州	1141.824	19.0304	16.31177143	14.2728
192	常州	秦皇岛	1149.432	19.1572	16.42045714	14.3679
193	秦皇岛	无锡	1191.684	19.8614	17.02405714	14.89605
194	无锡	秦皇岛	1191.196	19.85326667	17.01708571	14.88995
195	秦皇岛	苏州	1221.97	20.36616667	17.45671429	15.274625
196	苏州	秦皇岛	1220.435	20.34058333	17.43478571	15.2554375
197	秦皇岛	上海	1258.886	20.98143333	17.98408571	15.736075
198	上海	秦皇岛	1259.807	20.99678333	17.99724286	15.7475875
199	秦皇岛	杭州	1333.845	22.23075	19.05492857	16.6730625
200	杭州	秦皇岛	1333.737	22.22895	19.05338571	16.6717125
201	秦皇岛	宁波	1426.786	23.77976667	20.38265714	17.834825
202	宁波	秦皇岛	1427.526	23.7921	20.39322857	17.844075
203	秦皇岛	张家口	471.21	7.8535	6.731571429	5.890125
204	张家口	秦皇岛	473.673	7.89455	6.766757143	5.9209125
205	秦皇岛	承德	217.698	3.6283	3.109971429	2.721225
206	承德	秦皇岛	217.715	3.628583333	3.110214286	2.7214375
207	秦皇岛	北京	289.205	4.820083333	4.1315	3.6150625
208	北京	秦皇岛	287.94	4.799	4.113428571	3.59925
209	秦皇岛	唐山	140.065	2.334416667	2.000928571	1.7508125
210	唐山	秦皇岛	140.237	2.337283333	2.003385714	1.7529625
211	天津	徐州	603.512	10.05853333	8.6216	7.5439
212	徐州	天津	602.212	10.03686667	8.603028571	7.52765
213	天津	合肥	903.855	15.06425	12.91221429	11.2981875
214	合肥	天津	902.035	15.03391667	12.88621429	11.2754375
215	天津	南京	876.935	14.61558333	12.52764286	10.9616875
216	南京	天津	876.577	14.60961667	12.52252857	10.9572125
217	天津	镇江	884.285	14.73808333	12.63264286	11.0535625
218	镇江	天津	884.217	14.73695	12.63167143	11.0527125
219	天津	常州	933.53	15.55883333	13.33614286	11.669125
220	常州	天津	941.077	15.68461667	13.44395714	11.7634625
221	天津	无锡	983.39	16.38983333	14.04842857	12.292375
222	无锡	天津	982.841	16.38068333	14.04058571	12.2855125
223	天津	苏州	1013.676	16.8946	14.48108571	12.67095
224	苏州	天津	1012.08	16.868	14.45828571	12.651
225	天津	上海	1050.592	17.50986667	15.00845714	13.1324
226	上海	天津	1051.452	17.5242	15.02074286	13.14315
227	天津	杭州	1125.551	18.75918333	16.0793	14.0693875
228	杭州	天津	1125.382	18.75636667	16.07688571	14.067275
229	天津	宁波	1218.492	20.3082	17.40702857	15.23115
230	宁波	天津	1219.171	20.31951667	17.41672857	15.2396375
231	天津	张家口	317.003	5.283383333	4.528614286	3.9625375
232	张家口	天津	319.804	5.330066667	4.568628571	3.99755
233	天津	承德	259.427	4.323783333	3.7061	3.2428375
234	承德	天津	260.065	4.334416667	3.715214286	3.2508125
235	天津	北京	123.644	2.060733333	1.766342857	1.54555
236	北京	天津	124.037	2.067283333	1.771957143	1.5504625
237	天津	唐山	118.473	1.97455	1.692471429	1.4809125
238	唐山	天津	119.095	1.984916667	1.701357143	1.4886875
239	天津	秦皇岛	256.631	4.277183333	3.666157143	3.2078875
240	秦皇岛	天津	257.193	4.28655	3.674185714	3.2149125
241	保定	徐州	600.26	10.00433333	8.575142857	7.50325
242	徐州	保定	600.798	10.0133	8.582828571	7.509975
243	保定	合肥	889.971	14.83285	12.71387143	11.1246375
244	合肥	保定	889.914	14.8319	12.71305714	11.123925
245	保定	南京	901.794	15.0299	12.88277143	11.272425
246	南京	保定	902.469	15.04115	12.89241429	11.2808625
247	保定	镇江	927.458	15.45763333	13.2494	11.593225
248	镇江	保定	927.279	15.45465	13.24684286	11.5909875
249	保定	常州	979.967	16.33278333	13.99952857	12.2495875
250	常州	保定	987.106	16.45176667	14.10151429	12.338825
251	保定	无锡	1029.827	17.16378333	14.71181429	12.8728375
252	无锡	保定	1028.87	17.14783333	14.69814286	12.860875
253	保定	苏州	1060.113	17.66855	15.14447143	13.2514125
254	苏州	保定	1058.109	17.63515	15.11584286	13.2263625
255	保定	上海	1118.285	18.63808333	15.9755	13.9785625
256	上海	保定	1115.747	18.59578333	15.93924286	13.9468375
257	保定	杭州	1168.724	19.47873333	16.69605714	14.60905
258	杭州	保定	1168.444	19.47406667	16.69205714	14.60555
259	保定	宁波	1268.956	21.14926667	18.12794286	15.86195
260	宁波	保定	1266.684	21.1114	18.09548571	15.83355
261	保定	张家口	276.16	4.602666667	3.945142857	3.452
262	张家口	保定	280.112	4.668533333	4.0016	3.5014
